;Participant;Latency;Difficulty;MT in ms;SD
3368;25;-50;7.632911392;74.66666667;17.09775814
3369;25;-50;8.867647059;69.66666667;46.97162264
3370;25;-50;8.87254902;159.3333333;45.72016331
3371;25;-50;8.882352941;49.33333333;16.77299417
3372;25;-50;10.05555556;339;368.3463044
3373;25;-50;10.57894737;120.6666667;53.12563725
3374;25;-50;11.4556962;79.66666667;20.84066538
3375;25;-50;11.83333333;407.3333333;402.5572423
3376;25;-50;13.30882353;141;45.90206967
3377;25;-50;13.4;97.66666667;19.65536398
3378;25;-50;13.41111111;269;263.4900378
3379;25;-50;15.27848101;615.3333333;404.3393789
3380;25;-50;15.87719298;215;60.058305
3381;25;-50;17.73529412;78;34.64101615
3382;25;-50;17.75;129.3333333;94.21429474
3383;25;-50;20.11111111;298;82.77680835
3384;25;-50;21.1754386;559.3333333;339.0816028
3385;25;-50;26.61764706;206;50.26927491
3386;25;-50;26.82222222;499.3333333;425.8102081
3387;25;-50;35.5;594.6666667;560.5286195
3388;25;-16.67;2.960784314;61.33333333;52.5483904
3389;25;-16.67;3.355555556;70.33333333;17.92577288
3390;25;-16.67;3.82278481;40.66666667;19.34769581
3391;25;-16.67;4.441176471;71.66666667;34.96188401
3392;25;-16.67;5.298245614;70.33333333;32.39341497
3393;25;-16.67;5.911764706;79.66666667;47.05670338
3394;25;-16.67;6.7;81.33333333;46.91836883
3395;25;-16.67;6.711111111;40;17.32050808
3396;25;-16.67;7.632911392;174.6666667;72.95432361
3397;25;-16.67;8.867647059;101.3333333;47.68997099
3398;25;-16.67;8.87254902;182.3333333;54.2709253
3399;25;-16.67;8.882352941;70.66666667;18.47520861
3400;25;-16.67;10.05555556;205.6666667;49.13586606
3401;25;-16.67;10.57894737;142.6666667;27.06165799
3402;25;-16.67;11.4556962;231.3333333;130.0820254
3403;25;-16.67;11.83333333;259.6666667;65.07175527
3404;25;-16.67;13.30882353;141.6666667;44.41095961
3405;25;-16.67;13.4;80;46.18441296
3406;25;-16.67;13.41111111;369.3333333;271.518569
3407;25;-16.67;15.27848101;423.6666667;471.4958466
3408;25;-16.67;15.87719298;238.3333333;99.3042463
3409;25;-16.67;17.73529412;249.3333333;326.2090332
3410;25;-16.67;17.75;219;103
3411;25;-16.67;20.11111111;221.3333333;51.79124765
3412;25;-16.67;21.1754386;377;260.5916346
3413;25;-16.67;26.61764706;292.6666667;64.53164598
3414;25;-16.67;26.82222222;164.3333333;44.24176006
